y,x1,x2,x3,x4,x5,x6,x7
20,105,256,2000,0,3,10,26
28,105,1000,4000,0,3,24,32
33,105,2000,4000,8,3,19,32
47,75,2000,8000,8,3,24,62
54,75,3000,8000,8,3,48,64
20,175,256,2000,0,3,24,22
23,300,768,3000,0,6,24,36
25,300,768,3000,6,6,24,44
52,300,768,12000,6,6,24,50
27,300,768,4500,0,1,24,45
50,300,384,12000,6,1,24,53
18,300,192,768,6,6,24,36
53,180,768,12000,6,1,31,84
23,330,1000,3000,0,2,4,16
30,300,1000,4000,8,3,64,38
73,300,1000,16000,8,2,112,38
20,330,1000,2000,0,1,2,16
25,330,1000,4000,0,3,6,22
28,140,2000,4000,0,3,6,29
29,140,2000,4000,0,4,8,40
32,140,2000,4000,8,1,20,35
175,140,2000,32000,32,1,20,134
57,140,2000,8000,32,1,54,66
181,140,2000,32000,32,1,54,141
181,140,2000,32000,32,1,54,189
32,140,2000,4000,8,1,20,22
82,57,4000,16000,1,6,12,132
171,57,4000,24000,64,12,16,237
361,26,16000,32000,64,16,24,465
350,26,16000,32000,64,8,24,465
220,26,8000,32000,0,8,24,277
113,26,8000,16000,0,8,16,185
15,480,96,512,0,1,1,6
21,203,1000,2000,0,1,5,24
35,115,512,6000,16,1,6,45
18,1100,512,1500,0,1,1,7
20,1100,768,2000,0,1,1,13
20,600,768,2000,0,1,1,16
28,400,2000,4000,0,1,1,32
45,400,4000,8000,0,1,1,32
18,900,1000,1000,0,1,2,11
17,900,512,1000,0,1,2,11
26,900,1000,4000,4,1,2,18
28,900,1000,4000,8,1,2,22
28,900,2000,4000,0,3,6,37
31,225,2000,4000,8,3,6,40
31,225,2000,4000,8,3,6,34
42,180,2000,8000,8,1,6,50
76,185,2000,16000,16,1,6,76
76,180,2000,16000,16,1,6,66
26,225,1000,4000,2,3,6,24
59,25,2000,12000,8,1,4,49
65,25,2000,12000,16,3,5,66
101,17,4000,16000,8,6,12,100
116,17,4000,16000,32,6,12,133
18,1500,768,1000,0,0,0,12
20,1500,768,2000,0,0,0,18
20,800,768,2000,0,0,0,20
30,50,2000,4000,0,3,6,27
44,50,2000,8000,8,3,6,45
44,50,2000,8000,8,1,6,56
82,50,2000,16000,24,1,6,70
82,50,2000,16000,24,1,6,80
128,50,8000,16000,48,1,10,136
37,100,1000,8000,0,2,6,16
46,100,1000,8000,24,2,6,26
46,100,1000,8000,24,3,6,32
80,50,2000,16000,12,3,16,45
88,50,2000,16000,24,6,16,54
88,50,2000,16000,24,6,16,65
33,150,512,4000,0,8,128,30
46,115,2000,8000,16,1,3,50
29,115,2000,4000,2,1,5,40
53,92,2000,8000,32,1,6,62
53,92,2000,8000,32,1,6,60
41,92,2000,8000,4,1,6,50
86,75,4000,16000,16,1,6,66
95,60,4000,16000,32,1,6,86
107,60,2000,16000,64,5,8,74
117,60,4000,16000,64,5,8,93
119,50,4000,16000,64,5,10,111
120,72,4000,16000,64,8,16,143
48,72,2000,8000,16,6,8,105
126,40,8000,16000,32,8,16,214
266,40,8000,32000,64,8,24,277
270,35,8000,32000,64,8,24,370
426,38,16000,32000,128,16,32,510
151,48,4000,24000,32,8,24,214
267,38,8000,32000,64,8,24,326
603,30,16000,32000,256,16,24,510
19,112,1000,1000,0,1,4,8
21,84,1000,2000,0,1,6,12
26,56,1000,4000,0,1,6,17
35,56,2000,6000,0,1,8,21
41,56,2000,8000,0,1,8,24
47,56,4000,8000,0,1,8,34
62,56,4000,12000,0,1,8,42
78,56,4000,16000,0,1,8,46
80,38,4000,8000,32,16,32,51
80,38,4000,8000,32,16,32,116
142,38,8000,16000,64,4,8,100
281,38,8000,24000,160,4,8,140
190,38,4000,16000,128,16,32,212
21,200,1000,2000,0,1,2,25
25,200,1000,4000,0,1,4,30
67,200,2000,8000,64,1,5,41
24,250,512,4000,0,1,7,25
24,250,512,4000,0,4,7,50
64,250,1000,16000,1,1,8,50
25,160,512,4000,2,1,5,30
20,160,512,2000,2,3,8,32
29,160,1000,4000,8,1,14,38
43,160,1000,8000,16,1,14,60
53,160,2000,8000,32,1,13,109
19,240,512,1000,8,1,3,6
22,240,512,2000,8,1,5,11
31,105,2000,4000,8,3,8,22
41,105,2000,6000,16,6,16,33
47,105,2000,8000,16,4,14,58
99,52,4000,16000,32,4,12,130
67,70,4000,12000,8,6,8,75
81,59,4000,12000,32,6,12,113
149,59,8000,16000,64,12,24,188
183,26,8000,24000,32,8,16,173
275,26,8000,32000,64,12,16,248
382,26,8000,32000,128,24,32,405
56,116,2000,8000,32,5,28,70
182,50,2000,32000,24,6,26,114
227,50,2000,32000,48,26,52,208
341,50,2000,32000,112,52,104,307
360,50,4000,32000,112,52,104,397
919,30,8000,64000,96,12,176,915
978,30,8000,64000,128,12,176,1150
24,180,262,4000,0,1,3,12
24,180,512,4000,0,1,3,14
24,180,262,4000,0,1,3,18
24,180,512,4000,0,1,3,21
37,124,1000,8000,0,1,8,42
50,98,1000,8000,32,2,8,46
41,125,2000,8000,0,2,14,52
47,480,512,8000,32,0,0,67
25,480,1000,4000,0,0,0,45
